business_name,address,materials,last_updated
IMobile LLC,"370 7th Ave, New York, NY 10001","Cell Phone Accessories, Cell Phones","Updated Feb 29, 2012"
The 4th Bin,"307 7th Ave, New York, NY 10001","Cell Phones, Desktop Computers, Inkjet Cartridges, LCD Computer Monitors, LCD Televisions, MP3 Players, Toner Cartridges","Updated Feb 17, 2010"
Sprint Store,"126 W 34th St, New York, NY 10001","Cell Phone Accessories, Cell Phones","Updated Jul 30, 2013"
Willoughby's,"298 5th Ave, New York, NY 10001","Cell Phones, Desktop Computers, Game Consoles, Lithium-ion Batteries, MP3 Players, Nickel-cadmium Batteries, Telephones","Updated Feb 11, 2011"
Cartridge World,"225 West 23rd Street, New York, NY 10011","Inkjet Cartridges, Toner Cartridges","Updated May 15, 2013"
Tekserve,"119 W 23rd St, New York, NY 10011","Desktop Computers, LCD Computer Monitors, Office Machines","Updated Jan 23, 2011"
Staples,"500 8th Avenue, New York, NY 10018","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems, Inkjet Cartridges, Laptop Computers, LCD Computer Monitors, Lithium-ion Batteries, MP3 Players, Nickel-cadmium Batteries, Office Machines, Paper Shredders, Printers, Tablets, Toner Cartridges","Updated Sep 4, 2013"
Cartridge World,"155 West 35th Street, New York, NY 10001","Inkjet Cartridges, Toner Cartridges","Updated May 15, 2013"
Home Depot,"40 W 23rd St, New York, NY 10010","Car Batteries, Cell Phones, CFLs, Lead-acid Batteries - Non-automotive, Lithium-ion Batteries, Nickel-cadmium Batteries","Updated Jun 20, 2022"
Staples,"16 East 34th Street, New York, NY 10016","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems, Inkjet Cartridges, Laptop Computers, LCD Computer Monitors, Lithium-ion Batteries, MP3 Players, Nickel-cadmium Batteries, Office Machines, Paper Shredders, Printers, Tablets, Toner Cartridges","Updated Sep 4, 2013"
Sprint Store,"175 5th Ave, New York, NY 10010","Cell Phone Accessories, Cell Phones","Updated Jul 30, 2013"
Staples,"641 Avenue of the Americas, New York, NY 10011","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems, Inkjet Cartridges, Laptop Computers, LCD Computer Monitors, Lithium-ion Batteries, MP3 Players, Nickel-cadmium Batteries, Office Machines, Paper Shredders, Printers, Tablets, Toner Cartridges","Updated Sep 4, 2013"
Staples,"442 5th Avenue, New York, NY 10018","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems, Inkjet Cartridges, Laptop Computers, LCD Computer Monitors, Lithium-ion Batteries, MP3 Players, Nickel-cadmium Batteries, Office Machines, Paper Shredders, Printers, Tablets, Toner Cartridges","Updated Sep 4, 2013"
Radius Recycling,"11 Times Square, New York, NY 10036","Aluminum Scrap, Brass, Cell Phones, Computer Peripherals - External, Computer Peripherals - Internal, Copper, Desktop Computers, Ferrous Metals, Game Consoles, Hard Drives, Home Electronics, Laptop Computers, Nonferrous Metals, Stainless Steel, Zinc","Updated Aug 1, 2023"
Central Iron and Metal,"505 W 27th St, New York, NY 10001","Aluminum Scrap, Brass, Cables, Cookware, Copper, Ferrous Metals, Garden Tools, Hardware, Metal Clothes Hangers, Metal Tags, Musical Instruments - Metal, Nonferrous Metals, Pipe, Scrap Metal, Stainless Steel, Tools, Zinc","Updated May 15, 2013"
Staples Copy and Print Shop,"315 Park Avenue South, New York, NY 10010","Inkjet Cartridges, Lead-acid Batteries - Non-automotive, Lithium-ion Batteries, Nickel-cadmium Batteries, Nickel-metal Hydride Batteries, Nickel-zinc Batteries, Toner Cartridges","Updated Sep 4, 2013"
Staples,"261 Madison Ave, New York, NY 10016","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems, Inkjet Cartridges, Laptop Computers, LCD Computer Monitors, Lithium-ion Batteries, MP3 Players, Nickel-cadmium Batteries, Office Machines, Paper Shredders, Printers, Silver-oxide Batteries, Tablets, Toner Cartridges","Updated Dec 14, 2012"
Sprint Store,"57 W 42nd St, New York, NY 10036","Cell Phone Accessories, Cell Phones","Updated Jul 30, 2013"
Best Buy,"529 5th Ave, New York, NY 10017","Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players, Cell Phone Accessories, Cell Phones, Computer Peripherals - External, Computer Peripherals - Internal, CRT Computer Monitors, CRT Televisions, Curling Irons, Desktop Computers, Digital Cameras, DVD Players, Game Consoles, GPS Systems, Hard Drives, Home Electronics, Inkjet Cartridges, Laptop Computers, LCD Computer Monitors, LCD Televisions, Lead-acid Batteries - Non-automotive, Lithium-ion Batteries, MP3 Players, Nickel-cadmium Batteries, Nickel-metal Hydride Batteries, Nickel-zinc Batteries, Office Machines, Paper Shredders, Printers, Projectors, Receivers, Scanners, Small Appliances, Tablets, Telephones, Television Accessories, Toner Cartridges, Two-Way Radios, Vacuum Cleaners, VCRs, Video Game Peripherals","Updated Feb 20, 2023"
"Mobile City NY, LLC","606 9th Ave, New York, NY 10036","Cell Phone Accessories, Cell Phones","Updated Feb 29, 2012"
